Region,Task,Information,Requirements,Pts
Global,Task,Information,Requirements,Pts
Anachronia,Set sail for Anachronia.,Set sail for Anachronia on The Stormbreaker docked at Varrock Dig Site .,N/A,10
Anachronia,Complete the base camp tutorial.,Complete the base camp tutorial.,N/A,10
Anachronia,Observe all the large dragonkin statues around Anachronia.,Observe all the large dragonkin statues around Anachronia .,N/A,10
Anachronia,Surge under the spine on Anachronia.,Surge under the spine on Anachronia,5 Agility,10
Anachronia,Complete the miniquest: Helping Laniakea.,Complete the miniquest: Helping Laniakea .,See miniquest page,10
Anachronia,"Complete the quest: Raksha, the Shadow Colossus.","Complete Raksha, the Shadow Colossus quest.",See quest page,10
Anachronia,Obtain 100 potent herbs from Herby Werby.,Obtain 100 potent herbs from Herby Werby .,N/A,10
Asgarnia,Complete a lap of the Burthorpe Agility course.,Complete a lap of the Burthorpe Agility Course .,N/A,10
Asgarnia,Kill a goblin raider boss in the Goblin Village.,Kill 15 goblins in the Goblin Village to spawn a goblin raider boss .,N/A,10
Asgarnia,Get Harvey's ball back from the scary lady.,Complete Witch's House .,See quest page,10
Asgarnia,Sit down with Sir Tiffy in Falador park.,Sit on the bench with Sir Tiffy Cashien in Falador Park .,N/A,10
Asgarnia,Pray to Bandos's remains.,Pray to Bandos's remains (just south-east of Goblin Village ).,N/A,10
Asgarnia,Dance in the Falador party room.,Dance in the Falador party room .,N/A,10
Asgarnia,Give Thurgo a redberry pie.,Give Thurgo a redberry pie .,10 Cooking,10
Asgarnia,Build a God statue in Taverley.,Build a God statue in Taverley .,Completion of Let Them Eat Pie,10
Asgarnia,Teleport to Castle Wars with a Ring of Dueling.,Teleport to Castle Wars with a ring of duelling .,27 Magic 27 Crafting Materials to make a ring of duelling,10
Desert,Enter Menaphos.,Enter Menaphos .,N/A,10
Desert,Catch a whirligig at Het's Oasis.,Catch a whirligig at Het's Oasis .,N/A,10
Desert,Search the Grand Gold Chest in room 1 of Pyramid Plunder in Sophanem.,Search the grand gold chest in room 1 of Pyramid Plunder in Sophanem .,21 Thieving,10
Desert,Search the Grand Gold Chest in room 2 of Pyramid Plunder in Sophanem.,Search the grand gold chest in room 2 of Pyramid Plunder in Sophanem .,31 Thieving,10
Desert,Search the Grand Gold Chest in room 3 of Pyramid Plunder in Sophanem.,Search the grand gold chest in room 3 of Pyramid Plunder in Sophanem .,41 Thieving,10
Desert,Mine a gem rock at the Al Kharid mine.,Mine a gem rock at the Al Kharid mine . Common gem rocks can be mined with level 1 Mining.,N/A,10
Desert,Kill a crocodile.,Kill a crocodile .,N/A,10
Desert,Create a spirit kalphite pouch at the obelisk south west of Pollnivneach.,Create a spirit kalphite pouch at the obelisk south west of Pollnivneach .,"25 Summoning A pouch , 51 spirit shards , a blue charm , and a potato cactus",10
Desert,Squish 10 corrupted scarabs.,Squish 10 corrupted scarabs .,N/A,10
Desert,Hand Simon Templeton a pyramid top.,"Get a pyramid top by climbing to the top of the Agility Pyramid , then trade it to Simon Templeton at the base of the pyramid.",30 Agility,10
Desert,Use any of the magic carpets in the desert.,Use any of the magic carpets in the desert.,"1,000",10
Desert,Harvest a rose at Het's Oasis.,Harvest a rose at Het's Oasis .,30 Farming,10
Fremennik,Switch to the Lunar Spellbook at the astral altar.,Switch to the Lunar Spellbook at the astral altar .,N/A,10
Fremennik,Defeat a rock crab in the Fremennik Province.,Defeat a rock crab in the Fremennik Province .,N/A,10
Fremennik,Defeat a cockatrice in the Fremennik Province.,Defeat a cockatrice in the Fremennik Province .,25 Slayer A mirror shield,10
Fremennik,Defeat a troll in the Fremennik Province.,Defeat a troll in the Fremennik Province . Many ice troll variants can be found on the Fremennik Isles .,N/A,10
Fremennik,Deposit an item with Peer the Seer.,Deposit an item with Peer the Seer .,Completion of the easy Fremennik achievements,10
Fremennik,Use the bank on Jatizso or Neitiznot.,Use the Bank on Jatizso or Neitiznot .,N/A,10
Fremennik,Catch a sapphire glacialis.,Catch a sapphire glacialis . They can only be caught at the Rellekka Hunter area .,25 Hunter A butterfly net and jar,10
Global,Level up any of your skills for the first time.,Level up any of your skills for the first time.,N/A,10
Global,Reach level 5 in any skill.,Reach level 5 in any skill.,Any skill at level 5,10
Global,Reach level 10 in any skill.,Reach level 10 in any skill.,Any skill at level 10,10
Global,Reach level 20 in any skill.,Reach level 20 in any skill.,Any skill at level 20,10
Global,Reach combat level 5.,Reach combat level 5.,5 combat level,10
Global,Reach combat level 10.,Reach combat level 10.,10 combat level,10
Global,Reach total level 50.,Reach total level 50.,50 total level,10
Global,Reach total level 100.,Reach total level 100.,100 total level,10
Global,Mine a copper ore.,Mine copper ore from a copper rock .,N/A,10
Global,Mine 10 copper ore.,Mine 10 copper ore .,N/A,10
Global,Mine a tin ore.,Mine tin ore from a tin rock .,N/A,10
Global,Mine 10 tin ore.,Mine 10 tin ore .,N/A,10
Global,Smelt a bronze bar.,Smelt a bronze bar (requires 1 tin and 1 copper ore ).,N/A,10
Global,Smelt 10 bronze bars.,Smelt 10 bronze bars .,N/A,10
Global,Smith any bronze item.,Smith any bronze item.,N/A,10
Global,Mine clay.,Mine clay .,N/A,10
Global,Make soft clay.,Make soft clay by using clay on a water source or with a container of water.,N/A,10
Global,Mine any ore 5 times.,Mine any ore 5 times.,N/A,10
Global,Chop any tree 5 times.,Chop any tree 5 times.,N/A,10
Global,Chop a basic tree.,Chop a basic tree .,N/A,10
Global,Chop 10 basic trees.,Chop 10 basic trees .,N/A,10
Global,Chop an oak tree.,Chop an oak tree.,10 Woodcutting,10
Global,Burn any logs.,Burn any logs .,N/A,10
Global,Burn any logs 5 times.,Burn any logs 5 times.,N/A,10
Global,Catch a shrimp.,Catch raw shrimps by using the net option at a net/bait fishing spot .,N/A,10
Global,Catch 10 shrimp.,Catch 10 raw shrimps .,N/A,10
Global,Catch an anchovy.,Catch raw anchovies by using the net option at a net/bait fishing spot .,15 Fishing,10
Global,Catch a herring.,Catch a raw herring by using the bait option at a net/bait fishing spot,10 Fishing,10
Global,"Cook shrimp, meat, or chicken.","Cook raw shrimps , raw meat , or raw chicken .",N/A,10
Global,"Cook 10 shrimp, meat, or chicken.","Cook 10 raw shrimps , raw meat , or raw chicken .",N/A,10
Global,Burn any food.,Burn any food.,N/A,10
Global,Catch any fish 5 times.,Catch any fish 5 times.,N/A,10
Global,Bury any bones.,Bury any bones .,N/A,10
Global,Bury any bones 10 times.,Bury any bones 10 times.,N/A,10
Global,"Activate the thick skin, rock skin, or steel skin prayer.","Activate the Thick Skin , Rock Skin , or Steel Skin prayer.",N/A,10
Global,Run out of prayer points.,Run out of Prayer points .,N/A,10
Global,Harvest any memory from a wisp 5 times.,Harvest any memory from a wisp 5 times.,N/A,10
Global,Pickpocket from a man or woman.,Pickpocket from a man or woman .,N/A,10
Global,Pickpocket from a man or woman 10 times.,Pickpocket from a man or woman 10 times.,N/A,10
Global,Steal from any stall.,Steal from any stall .,2 Thieving for Vegetable Stalls,10
Global,Steal from any stall 10 times.,Steal from any stall 10 times.,2 Thieving for Vegetable Stalls,10
Global,Pickpocket anyone 5 times.,Pickpocket anyone 5 times.,N/A,10
Global,Rake any farming patch.,Rake any farming patch .,N/A,10
Global,Plant seeds in any farming patch.,Plant seeds in any farming patch .,N/A,10
Global,Plant seeds in any farming patch 10 times.,Plant seeds in any farming patch 10 times.,N/A,10
Global,Add any compostable item to a compost bin.,Add any compostable item to a compost bin .,N/A,10
Global,Have a tool leprechaun note any produce.,Have a tool leprechaun note any produce.,N/A,10
Global,Use the Home Teleport spell to return to Lumbridge.,Use the Home Teleport spell to return to Lumbridge .,N/A,10
Global,Eat a cabbage.,Eat a cabbage .,N/A,10
Global,Eat a baked potato.,Eat a baked potato . You will need to get a raw potato and cook it at a range .,N/A,10
Global,Eat an onion.,Eat an onion .,N/A,10
Global,Kill an imp.,Kill an imp .,N/A,10
Global,Kill a chicken.,Kill a chicken .,N/A,10
Global,Claim a free item from any store.,Claim a free item from any store e.g. a tinderbox from Lumbridge General Store,N/A,10
Global,Return a free item to any store.,Return a free item to any store e.g. a tinderbox from Lumbridge General Store,N/A,10
Global,Sell an item to any store.,Sell an item to any store .,N/A,10
Global,Listen to any musician.,Listen to any musician .,N/A,10
Global,Pick wheat from a field.,Pick wheat from a field.,N/A,10
Global,Prospect any rock.,Prospect any rock .,N/A,10
Global,View the skillguide.,View the skill guide .,N/A,10
Global,Create a Guthix rest potion.,Create a Guthix rest potion.,18 Herblore Partial completion of One Small Favour,10
Global,Make 5 potions of any kind.,Make 5 potions of any kind.,N/A,10
Global,Drink a strength potion.,Drink a strength potion .,Giving a limpwurt root and red spiders' eggs to the Apothecary,10
Global,Make an attack potion.,Make an attack potion .,A clean guam and an eye of newt,10
Global,Make a necromancy potion.,Make a necromancy potion .,11 Herblore A clean marrentill and cadava berries,10
Global,Clean 5 grimy guam.,Clean 5 grimy guam .,5 grimy guam,10
Global,Clean 15 grimy tarromin.,Clean 15 grimy tarromin .,5 Herblore 15 grimy tarromin,10
Global,Clean 5 of any herb.,Clean 5 of any herb.,5 of any grimy herb,10
Global,Clean 10 of any herb,Clean 10 of any herb,10 of any grimy herb,10
Global,Fletch an oak shortbow (unstrung).,Fletch an unstrung oak shortbow .,10 Fletching Oak logs,10
Global,Fletch some arrow shafts.,Fletch some arrow shafts .,Logs of any kind,10
Global,Fletch 50 bronze bolts.,Fletch 50 bronze bolts .,3 Fletching A bronze bar and 50 feathers,10
Global,Complete 10 laps of any agility course.,Complete 10 laps of any Agility course .,N/A,10
Global,Smith 10 of any metal weapon or armour piece.,Smith 10 of any metal weapon or armour piece.,10 of any metal bar,10
Global,Open 30 sedimentary geodes.,Open 30 sedimentary geodes . These are found randomly while mining.,N/A,10
Global,Maintain nearly maximum stamina when mining for 60 seconds.,Maintain nearly maximum stamina by re-clicking the rock everytime the stamina (yellow) bar decreases when mining for 60 seconds. See My Sick Four Tick Trick for more information.,N/A,10
Global,Harvest a grimy marrentill.,Harvest a grimy marrentill .,9 Farming Marrentill seed,10
Global,Harvest 10 grimy tarromin.,Harvest 10 grimy tarromin .,19 Farming Tarromin seeds,10
Global,Cook 5 fish.,Cook 5 fish .,5 of any raw fish,10
Global,Make some bread.,"Make some bread . Bread dough can be created by using a pot of flour with water, it must be cooked at a range .",Bread dough,10
Global,Make some flour.,Make a pot of flour by grinding wheat at a windmill and collecting the flour in an empty pot .,Wheat,10
Global,Offer 5 bones of any kind to an altar.,"Offer 5 bones ( ashes also work) at the chaos altar in the Wilderness, the altar in Fort Forinthry, or an altar in the player-owned house chapel",N/A,10
Global,Offer 25 bones of any kind to an altar.,"Offer 25 bones ( ashes also work) at the chaos altar in the Wilderness, the altar in Fort Forinthry, or an altar in the player-owned house chapel",N/A,10
Global,Scatter some ashes.,Scatter some ashes .,Any demonic ashes,10
Global,Scatter 25 ashes of any kind.,Scatter 25 ashes of any kind.,25 of any demonic ashes,10
Global,Restore 50 prayer points at an altar at once.,Restore 50 Prayer Points at an Altar at once.,5 Prayer,10
Global,Activate Superhuman or Ultimate Strength and Improved or Incredible Reflexes prayers at the same time.,Activate Superhuman or Ultimate Strength and Improved or Incredible Reflexes prayers at the same time.,16 Prayer,10
Global,Catch a baby impling.,Catch a baby impling . Cannot be completed in Puro-Puro .,17 Hunter,10
Global,Catch 10 implings of any kind.,Catch 10 implings. Cannot be completed in Puro-Puro .,17 Hunter,10
Global,Catch 5 Hunter creatures.,Catch 5 Hunter creatures.,N/A,10
Global,Complete 5 Slayer tasks.,Complete 5 Slayer assignments .,N/A,10
Global,Pick 5 flax.,Pick 5 flax from flax fields.,N/A,10
Global,Spin 5 bowstring.,Spin 5 bowstrings by using flax on a spinning wheel .,5 flax,10
Global,Surge a distance of one tile.,Surge a distance of one tile.,5 Agility,10
Global,Spin a ball of wool.,Spin a ball of wool by using wool at a spinning wheel .,Wool,10
Global,Equip a full set of iron armour without any upgrades.,"Equip an iron full helm , iron platebody , iron platelegs / iron plateskirt , iron gauntlets , and iron armoured boots . Substitutes for pieces (e.g. med helm instead of full helm, chainbody instead of platebody) will work. Iron armour can be bought at Horvik's Armour Shop .",10 Defence,10
Global,Equip a full set of green dragonhide armour.,"Equip a green dragonhide coif , green dragonhide body , green dragonhide chaps , green dragonhide vambraces , and green dragonhide boots . These can all be bought at Lowe's Archery Emporium .",40 Defence,10
Global,Equip a full set of imphide robes.,"Equip an imphide hood , imphide robe top , imphide robe bottom , imphide gloves , and imphide boots . Imphide armour can be bought at Zaff's Superior Spellcasting .",10 Defence,10
Global,Equip a full set of spider silk robes.,"Equip a spider silk hood , spider silk robe top , spider silk robe bottom , spider silk gloves , and spider silk boots . Spider silk armour can be bought at Zaff's Superior Spellcasting .",20 Defence,10
Global,Store the items required for an emote clue in a Treasure Trail hidey-hole.,Store the items required for an emote clue in a Treasure Trail hidey-hole .,27 Construction 4 planks and 10 of any nails for an easy hidey-hole,10
Global,Complete an easy clue scroll.,Complete an easy clue scroll .,N/A,10
Global,Collect 10 unique items for the general clue rewards collection log.,Collect 10 unique items for the general clue rewards collection log .,N/A,10
Havenhythe,Bring marigolds to Anya at her campsite.,Bring marigolds to Anya at her campsite.,N/A,10
Havenhythe,Use the outhouse on the cliffs north of Wendlewick.,Use the outhouse on the cliffs north of Wendlewick .,N/A,10
Havenhythe,Attempt to eat a burnt lobster while inside the Burnt Lobster Tavern.,Attempt to eat a burnt lobster while inside the Burnt Lobster Tavern .,N/A,10
Havenhythe,Attempt to pet Inanna.,Attempt to pet Inanna .,N/A,10
Havenhythe,Find and speak to the drunken villager.,Find and speak to the drunken villager .,N/A,10
Havenhythe,Use a fairy ring to travel to Amberfell forest.,Use a fairy ring to travel to Amberfell forest.,N/A,10
Havenhythe,Climb to the top of the Wendlewick lighthouse.,Climb to the top of the Wendlewick lighthouse .,N/A,10
Havenhythe,Defeat a juvenile boulder crab.,Defeat a juvenile boulder crab .,N/A,10
Havenhythe,Pickpocket a ranger in Wendlewick.,Pickpocket a ranger in Wendlewick .,40 Thieving,10
Havenhythe,Cut creeping ivy 20 times.,Cut creeping ivy 20 times.,35 Woodcutting,10
Havenhythe,Catch a jackalope.,Catch a jackalope .,32 Hunter,10
Havenhythe,Use an empowered obelisk to create a jackalope pouch at the Shrine of Inanna.,Use an empowered obelisk to create a jackalope pouch at the Shrine of Inanna .,30 Summoning,10
Havenhythe,Use the spirit plane connection bonus at the Shrine of Inanna to create a summoning pouch for free.,Use the spirit plane connection bonus at the Shrine of Inanna to create a summoning pouch for free.,N/A,10
Havenhythe,Construct a birdhouse.,Construct a birdhouse .,"5 Crafting , 10 Fletching",10
Havenhythe,Mine 20 havensilver ore.,Mine 20 havensilver ore .,N/A,10
Havenhythe,Smith a havensilver weapon.,Smith a havensilver weapon .,N/A,10
Havenhythe,Defeat a Sanguine crawler.,Defeat a Sanguine crawler .,28 Slayer,10
Havenhythe,"Defeat Ivar, King of Bones.","Defeat Ivar, King of Bones .",N/A,10
Havenhythe,"Defeat Silverquill, the Dreadhog.","Defeat Silverquill, the Dreadhog .",N/A,10
Kandarin,Complete the Gnome Stronghold Agility Course.,Complete the Gnome Stronghold Agility Course .,N/A,10
Kandarin,Catch a crimson swift in the Feldip Hills.,Catch a crimson swift in the Feldip Hunter area .,A bird snare,10
Kandarin,Defeat a tortoise with riders in Kandarin.,Defeat a tortoise with riders in Kandarin.,N/A,10
Kandarin,Let Brimstail teleport you to the Rune Essence mine.,Let Brimstail teleport you to the Rune Essence mine .,N/A,10
Kandarin,Obtain a Naragi engram from Orla Fairweather.,Obtain a Naragi engram from Orla Fairweather . The engram is given to the player during the tutorial for Memorial to Guthix .,N/A,10
Kandarin,Learn how to raise your own animals at Manor Farm.,Learn how to raise your own animals at Manor Farm .,17 Farming 20 Construction,10
Kandarin,Catch a wild kebbit.,Catch a wild kebbit . They can only be caught at the Piscatoris Hunter area by setting up deadfall traps .,23 Hunter Logs of any kind,10
Kandarin,Enter the Wilderness from Ardougne.,Enter the Wilderness from Ardougne using the lever .,N/A,10
Kandarin,Make a pineapple punch cocktail.,Make a Pineapple Punch cocktail.,8 Cooking See Pineapple Punch for ingredients,10
Karamja,Collect 5 seaweed from anywhere on Karamja.,Collect 5 seaweed from anywhere on Karamja . There are spawns just south of the Karamja lodestone .,N/A,10
Karamja,Fill up Luthas' crate near the Musa Point plantation with bananas and receive 30 coins for your work.,Fill up Luthas ' crate near the Banana plantation with bananas and talk to him to receive 30 coins for your work.,N/A,10
Karamja,Claim a ticket from Brimhaven Agility Arena.,Claim a ticket from Brimhaven Agility Arena .,N/A,10
Karamja,Kill a snake.,Kill a snake .,N/A,10
Karamja,Catch a karambwanji.,Catch a raw karambwanji .,5 Fishing,10
Karamja,Be assigned a Slayer task in Shilo Village.,Be assigned a Slayer task in Shilo Village .,100 combat level 50 Slayer,10
Karamja,Defeat a greater demon on Karamja.,Defeat a greater demon on Karamja .,N/A,10
Karamja,Pick a pineapple on Karamja.,Pick a pineapple on Karamja from the pineapple Plants near the lodestone.,N/A,10
Karamja,Enter the Brimhaven Dungeon.,Enter the Brimhaven Dungeon .,875 coins,10
Karamja,Cross the spiky pit using the stepping stones within Brimhaven Dungeon.,Cross the spiky pit using the stepping stones within Brimhaven Dungeon .,12 Agility,10
Misthalin,Progress through the Leagues tutorial to unlock your first relic.,Progress through the Leagues tutorial to unlock your first relic .,N/A,10
Misthalin,Climb to the top of the Wizards' Tower.,Climb to the top of the Wizards' Tower .,N/A,10
Misthalin,Have Ned make you some rope from balls of wool.,Have Ned make you some rope from 4 balls of wool .,N/A,10
Misthalin,Siphon from a fire essling in the Runespan.,Siphon from a fire essling in the Runespan .,14 Runecrafting,10
Misthalin,Convert at least one pale memory into energy.,Convert at least one pale memory into energy .,N/A,10
Misthalin,Kill a mugger near the Edgeville lodestone.,Kill a mugger near the Edgeville lodestone .,N/A,10
Misthalin,Mine some coal in the centre of Barbarian village.,Mine some coal in the centre of Barbarian Village .,20 Mining,10
Misthalin,Use the bank in the workshop at Fort Forinthry.,Use the bank in the workshop at Fort Forinthry .,Partial completion of New Foundations,10
Misthalin,Kill a giant rat in Lumbridge Swamp.,Kill a giant rat in Lumbridge Swamp .,N/A,10
Misthalin,Kill a goblin in Lumbridge.,Kill a goblin in Lumbridge .,N/A,10
Misthalin,Kill a giant spider in Lumbridge or Lumbridge Swamp.,Kill a giant spider in Lumbridge or Lumbridge Swamp .,N/A,10
Misthalin,Milk a cow.,Milk a cow .,N/A,10
Misthalin,Talk to Hans and find out how old you are.,Talk to Hans and find out how old you are.,N/A,10
Misthalin,Complete the quest: The Blood Pact.,Complete The Blood Pact .,N/A,10
Misthalin,Catch some shrimp in the fishing spot to the east of Lumbridge Swamp.,Catch some shrimp by using the net option on the net/bait fishing spot to the east of Lumbridge Swamp .,N/A,10
Misthalin,Smelt a steel bar in the furnace in Lumbridge.,Smelt a steel bar in the furnace in Lumbridge using an iron ore and coal .,20 Smithing,10
Misthalin,Cook some rat meat on a campfire in Lumbridge Swamp.,Cook some rat meat on a campfire in Lumbridge Swamp .,N/A,10
Misthalin,Mine iron ore from the mining site south-west of Lumbridge Swamp.,Mine iron ore from the mining site south-west of Lumbridge Swamp .,10 Mining,10
Misthalin,Craft a water rune at the Water Altar.,Craft a water rune at the Water altar .,5 Runecrafting,10
Misthalin,"Complete a task from Jacquelyn, the Lumbridge Slayer master.","Complete a task from Jacquelyn , the Lumbridge Slayer master.",N/A,10
Misthalin,Complete the quest: Necromancy!,Complete Necromancy!,N/A,10
